Day,S,T,K,Value,tau,rate
44832,2.68,0,2.95,0,0.0191,0.90847
44832,2.68,0,3,0,0.0191,0.89333
44832,2.68,0,3.1,0,0.0191,0.86452
44832,2.68,0,3.2,0,0.0191,0.8375
44832,2.68,0,3.3,0,0.0191,0.81212
44832,2.68,0,3.4,0,0.0191,0.78824
44832,2.68,0,3.5,0,0.0191,0.76571
44832,2.68,0,2.8,0,0.0191,0.95714
44832,2.68,0,2.75,0,0.0191,0.97455
44832,2.68,0,2.7,0,0.0191,0.99259
44832,2.68,0,2.65,0.001,0.0191,1.01132
44832,2.68,0,2.5,0.151,0.0191,1.072
44832,2.68,0,2.55,0.101,0.0191,1.05098
44832,2.68,0,2.6,0.051,0.0191,1.03077
44832,2.68,0,2.45,0.201,0.0191,1.09388
44832,2.68,0.24932,2.5,0.2183,0.0191,1.072
44832,2.68,0.24932,2.55,0.1803,0.0191,1.05098
44832,2.68,0.24932,2.6,0.1466,0.0191,1.03077
44832,2.68,0.24932,2.65,0.1188,0.0191,1.01132
44832,2.68,0.24932,2.7,0.0935,0.0191,0.99259
44832,2.68,0.24932,2.75,0.0729,0.0191,0.97455
44832,2.68,0.24932,2.8,0.0556,0.0191,0.95714
44832,2.68,0.24932,2.85,0.0423,0.0191,0.94035
44832,2.68,0.24932,2.9,0.0324,0.0191,0.92414
44832,2.68,0.24932,2.95,0.0232,0.0191,0.90847
44832,2.68,0.24932,3,0.0183,0.0191,0.89333
44832,2.68,0.24932,3.1,0.0106,0.0191,0.86452
44832,2.68,0.24932,3.2,0.007,0.0191,0.8375
44832,2.68,0.24932,3.3,0.0046,0.0191,0.81212
44832,2.68,0.24932,3.4,0.004,0.0191,0.78824
44832,2.68,0.24932,3.5,0.0029,0.0191,0.76571
44832,2.68,0.47945,2.65,0.1725,0.0191,1.01132
44832,2.68,0.47945,2.7,0.148,0.0191,0.99259
44832,2.68,0.47945,2.75,0.1258,0.0191,0.97455
44832,2.68,0.47945,2.8,0.105,0.0191,0.95714
44832,2.68,0.47945,2.85,0.088,0.0191,0.94035
44832,2.68,0.47945,2.9,0.0735,0.0191,0.92414
44832,2.68,0.47945,2.95,0.0608,0.0191,0.90847
44832,2.68,0.47945,3,0.0495,0.0191,0.89333
44832,2.68,0.47945,3.1,0.0339,0.0191,0.86452
44832,2.68,0.47945,2.6,0.201,0.0191,1.03077
44832,2.68,0.47945,2.55,0.232,0.0191,1.05098
44832,2.68,0.07671,2.55,0.1296,0.0191,1.05098
44832,2.68,0.07671,2.6,0.0912,0.0191,1.03077
44832,2.68,0.07671,2.65,0.0576,0.0191,1.01132
44832,2.68,0.07671,2.7,0.0349,0.0191,0.99259
44832,2.68,0.07671,2.75,0.02,0.0191,0.97455
44832,2.68,0.07671,2.8,0.0105,0.0191,0.95714
44832,2.68,0.07671,2.85,0.006,0.0191,0.94035
44832,2.68,0.07671,2.9,0.0041,0.0191,0.92414
44832,2.68,0.07671,2.95,0.0026,0.0191,0.90847
44832,2.68,0.07671,3,0.0024,0.0191,0.89333
44832,2.68,0.07671,2.5,0.1733,0.0191,1.072
44832,2.68,0.47945,2.5,0.2622,0.0191,1.072
44832,2.68,0.07671,2.45,0.2171,0.0191,1.09388
44832,2.68,0.24932,2.45,0.257,0.0191,1.09388
44832,2.68,0.47945,2.45,0.301,0.0191,1.09388
44831,2.65,0.00274,2.85,0.0001,0.0191,0.92982
44831,2.65,0.00274,2.9,0.0001,0.0191,0.91379
44831,2.65,0.00274,2.95,0.0001,0.0191,0.89831
44831,2.65,0.00274,3,0.0001,0.0191,0.88333
44831,2.65,0.00274,3.1,0.0001,0.0191,0.85484
44831,2.65,0.00274,3.2,0.0001,0.0191,0.82813
44831,2.65,0.00274,3.3,0.0001,0.0191,0.80303
44831,2.65,0.00274,3.4,0.0001,0.0191,0.77941
44831,2.65,0.00274,3.5,0.0001,0.0191,0.75714
44831,2.65,0.00274,2.8,0.0001,0.0191,0.94643
44831,2.65,0.00274,2.75,0.0005,0.0191,0.96364
44831,2.65,0.00274,2.7,0.0046,0.0191,0.98148
44831,2.65,0.00274,2.65,0.0345,0.0191,1
44831,2.65,0.00274,2.5,0.1829,0.0191,1.06
44831,2.65,0.00274,2.55,0.135,0.0191,1.03922
44831,2.65,0.00274,2.6,0.0818,0.0191,1.01923
44831,2.65,0.00274,2.45,0.2315,0.0191,1.08163
44831,2.65,0.25205,2.5,0.2405,0.0191,1.06
44831,2.65,0.25205,2.55,0.1997,0.0191,1.03922
44831,2.65,0.25205,2.6,0.1661,0.0191,1.01923
44831,2.65,0.25205,2.65,0.1339,0.0191,1
44831,2.65,0.25205,2.7,0.1072,0.0191,0.98148
44831,2.65,0.25205,2.75,0.0835,0.0191,0.96364
44831,2.65,0.25205,2.8,0.0643,0.0191,0.94643
44831,2.65,0.25205,2.85,0.049,0.0191,0.92982
44831,2.65,0.25205,2.9,0.037,0.0191,0.91379
44831,2.65,0.25205,2.95,0.0278,0.0191,0.89831
44831,2.65,0.25205,3,0.0208,0.0191,0.88333
44831,2.65,0.25205,3.1,0.0121,0.0191,0.85484
44831,2.65,0.25205,3.2,0.0075,0.0191,0.82813
44831,2.65,0.25205,3.3,0.0047,0.0191,0.80303
44831,2.65,0.25205,3.4,0.0041,0.0191,0.77941
44831,2.65,0.25205,3.5,0.0033,0.0191,0.75714
44831,2.65,0.48219,2.65,0.1889,0.0191,1
44831,2.65,0.48219,2.7,0.1643,0.0191,0.98148
44831,2.65,0.48219,2.75,0.1388,0.0191,0.96364
44831,2.65,0.48219,2.8,0.1177,0.0191,0.94643
44831,2.65,0.48219,2.85,0.099,0.0191,0.92982
44831,2.65,0.48219,2.9,0.0829,0.0191,0.91379
44831,2.65,0.48219,2.95,0.0681,0.0191,0.89831
44831,2.65,0.48219,3,0.0559,0.0191,0.88333
44831,2.65,0.48219,3.1,0.0371,0.0191,0.85484
44831,2.65,0.48219,2.6,0.2176,0.0191,1.01923
44831,2.65,0.48219,2.55,0.2526,0.0191,1.03922
44831,2.65,0.07945,2.55,0.1534,0.0191,1.03922
44831,2.65,0.07945,2.6,0.1132,0.0191,1.01923
44831,2.65,0.07945,2.65,0.0763,0.0191,1
44831,2.65,0.07945,2.7,0.0472,0.0191,0.98148
44831,2.65,0.07945,2.75,0.0277,0.0191,0.96364
44831,2.65,0.07945,2.8,0.0156,0.0191,0.94643
44831,2.65,0.07945,2.85,0.0081,0.0191,0.92982
44831,2.65,0.07945,2.9,0.005,0.0191,0.91379
44831,2.65,0.07945,2.95,0.0032,0.0191,0.89831
44831,2.65,0.07945,3,0.003,0.0191,0.88333
44831,2.65,0.07945,2.5,0.1986,0.0191,1.06
44831,2.65,0.48219,2.5,0.2845,0.0191,1.06
44831,2.65,0.07945,2.45,0.2448,0.0191,1.08163
44831,2.65,0.25205,2.45,0.2786,0.0191,1.08163
44831,2.65,0.48219,2.45,0.3208,0.0191,1.08163
44830,2.67,0.00548,2.85,0.0002,0.0188,0.93684
44830,2.67,0.00548,2.9,0.0001,0.0188,0.92069
44830,2.67,0.00548,2.95,0.0001,0.0188,0.90508
44830,2.67,0.00548,3,0.0001,0.0188,0.89
44830,2.67,0.00548,3.1,0.0001,0.0188,0.86129
44830,2.67,0.00548,3.2,0.0001,0.0188,0.83438
44830,2.67,0.00548,3.3,0.0001,0.0188,0.80909
44830,2.67,0.00548,3.4,0.0001,0.0188,0.78529
44830,2.67,0.00548,3.5,0.0001,0.0188,0.76286
44830,2.67,0.00548,2.8,0.0005,0.0188,0.95357
44830,2.67,0.00548,2.75,0.0006,0.0188,0.97091
44830,2.67,0.00548,2.7,0.004,0.0188,0.98889
44830,2.67,0.00548,2.65,0.0218,0.0188,1.00755
44830,2.67,0.00548,2.5,0.154,0.0188,1.068
44830,2.67,0.00548,2.55,0.1068,0.0188,1.04706
44830,2.67,0.00548,2.6,0.0605,0.0188,1.02692
44830,2.67,0.00548,2.45,0.2056,0.0188,1.0898
44830,2.67,0.25479,2.5,0.2205,0.0188,1.068
44830,2.67,0.25479,2.55,0.1853,0.0188,1.04706
44830,2.67,0.25479,2.6,0.1498,0.0188,1.02692
44830,2.67,0.25479,2.65,0.1216,0.0188,1.00755
44830,2.67,0.25479,2.7,0.0974,0.0188,0.98889
44830,2.67,0.25479,2.75,0.076,0.0188,0.97091
44830,2.67,0.25479,2.8,0.0571,0.0188,0.95357
44830,2.67,0.25479,2.85,0.0445,0.0188,0.93684
44830,2.67,0.25479,2.9,0.0335,0.0188,0.92069
44830,2.67,0.25479,2.95,0.0249,0.0188,0.90508
44830,2.67,0.25479,3,0.0186,0.0188,0.89
44830,2.67,0.25479,3.1,0.0104,0.0188,0.86129
44830,2.67,0.25479,3.2,0.007,0.0188,0.83438
44830,2.67,0.25479,3.3,0.0046,0.0188,0.80909
44830,2.67,0.25479,3.4,0.0036,0.0188,0.78529
44830,2.67,0.25479,3.5,0.0028,0.0188,0.76286
44830,2.67,0.48493,2.65,0.1785,0.0188,1.00755
44830,2.67,0.48493,2.7,0.1544,0.0188,0.98889
44830,2.67,0.48493,2.75,0.1305,0.0188,0.97091
44830,2.67,0.48493,2.8,0.1097,0.0188,0.95357
44830,2.67,0.48493,2.85,0.0928,0.0188,0.93684
44830,2.67,0.48493,2.9,0.0772,0.0188,0.92069
44830,2.67,0.48493,2.95,0.0635,0.0188,0.90508
44830,2.67,0.48493,3,0.0518,0.0188,0.89
44830,2.67,0.48493,3.1,0.035,0.0188,0.86129
44830,2.67,0.48493,2.6,0.2047,0.0188,1.02692
44830,2.67,0.48493,2.55,0.2359,0.0188,1.04706
44830,2.67,0.08219,2.55,0.1358,0.0188,1.04706
44830,2.67,0.08219,2.6,0.0976,0.0188,1.02692
44830,2.67,0.08219,2.65,0.0643,0.0188,1.00755
44830,2.67,0.08219,2.7,0.0396,0.0188,0.98889
44830,2.67,0.08219,2.75,0.023,0.0188,0.97091
44830,2.67,0.08219,2.8,0.0129,0.0188,0.95357
44830,2.67,0.08219,2.85,0.0072,0.0188,0.93684
44830,2.67,0.08219,2.9,0.0043,0.0188,0.92069
44830,2.67,0.08219,2.95,0.003,0.0188,0.90508
44830,2.67,0.08219,3,0.0026,0.0188,0.89
44830,2.67,0.08219,2.5,0.1756,0.0188,1.068
44830,2.67,0.48493,2.5,0.2703,0.0188,1.068
44830,2.67,0.08219,2.45,0.222,0.0188,1.0898
44830,2.67,0.25479,2.45,0.2592,0.0188,1.0898
44830,2.67,0.48493,2.45,0.3076,0.0188,1.0898
44827,2.67,0.0137,2.85,0.0004,0.0185,0.93684
44827,2.67,0.0137,2.9,0.0004,0.0185,0.92069
44827,2.67,0.0137,2.95,0.0002,0.0185,0.90508
44827,2.67,0.0137,3,0.0002,0.0185,0.89
44827,2.67,0.0137,3.1,0.0002,0.0185,0.86129
44827,2.67,0.0137,3.2,0.0002,0.0185,0.83438
44827,2.67,0.0137,3.3,0.0001,0.0185,0.80909
44827,2.67,0.0137,3.4,0.0001,0.0185,0.78529
44827,2.67,0.0137,3.5,0.0001,0.0185,0.76286
44827,2.67,0.0137,2.8,0.0009,0.0185,0.95357
44827,2.67,0.0137,2.75,0.0027,0.0185,0.97091
44827,2.67,0.0137,2.7,0.0117,0.0185,0.98889
44827,2.67,0.0137,2.65,0.0362,0.0185,1.00755
44827,2.67,0.0137,2.5,0.1732,0.0185,1.068
44827,2.67,0.0137,2.55,0.1231,0.0185,1.04706
44827,2.67,0.0137,2.6,0.0762,0.0185,1.02692
44827,2.67,0.0137,2.45,0.2231,0.0185,1.0898
44827,2.67,0.26301,2.5,0.2337,0.0185,1.068
44827,2.67,0.26301,2.55,0.1964,0.0185,1.04706
44827,2.67,0.26301,2.6,0.162,0.0185,1.02692
44827,2.67,0.26301,2.65,0.1314,0.0185,1.00755
44827,2.67,0.26301,2.7,0.1058,0.0185,0.98889
44827,2.67,0.26301,2.75,0.0835,0.0185,0.97091
44827,2.67,0.26301,2.8,0.0647,0.0185,0.95357
44827,2.67,0.26301,2.85,0.0505,0.0185,0.93684
44827,2.67,0.26301,2.9,0.0379,0.0185,0.92069
44827,2.67,0.26301,2.95,0.0281,0.0185,0.90508
44827,2.67,0.26301,3,0.022,0.0185,0.89
44827,2.67,0.26301,3.1,0.0125,0.0185,0.86129
44827,2.67,0.26301,3.2,0.0089,0.0185,0.83438
44827,2.67,0.26301,3.3,0.0054,0.0185,0.80909
44827,2.67,0.26301,3.4,0.0045,0.0185,0.78529
44827,2.67,0.26301,3.5,0.0031,0.0185,0.76286
44827,2.67,0.49315,2.65,0.1873,0.0185,1.00755
44827,2.67,0.49315,2.7,0.1601,0.0185,0.98889
44827,2.67,0.49315,2.75,0.1375,0.0185,0.97091
44827,2.67,0.49315,2.8,0.1173,0.0185,0.95357
44827,2.67,0.49315,2.85,0.0989,0.0185,0.93684
44827,2.67,0.49315,2.9,0.0817,0.0185,0.92069
44827,2.67,0.49315,2.95,0.068,0.0185,0.90508
44827,2.67,0.49315,3,0.0565,0.0185,0.89
44827,2.67,0.49315,3.1,0.0381,0.0185,0.86129
44827,2.67,0.49315,2.6,0.216,0.0185,1.02692
44827,2.67,0.49315,2.55,0.2467,0.0185,1.04706
44827,2.67,0.09041,2.55,0.147,0.0185,1.04706
44827,2.67,0.09041,2.6,0.1077,0.0185,1.02692
44827,2.67,0.09041,2.65,0.0731,0.0185,1.00755
44827,2.67,0.09041,2.7,0.0479,0.0185,0.98889
44827,2.67,0.09041,2.75,0.0284,0.0185,0.97091
44827,2.67,0.09041,2.8,0.016,0.0185,0.95357
44827,2.67,0.09041,2.85,0.009,0.0185,0.93684
44827,2.67,0.09041,2.9,0.0053,0.0185,0.92069
44827,2.67,0.09041,2.95,0.003,0.0185,0.90508
44827,2.67,0.09041,3,0.0027,0.0185,0.89
44827,2.67,0.09041,2.5,0.1903,0.0185,1.068
44827,2.67,0.49315,2.5,0.2801,0.0185,1.068
44827,2.67,0.09041,2.45,0.2361,0.0185,1.0898
44827,2.67,0.26301,2.45,0.273,0.0185,1.0898
44827,2.67,0.49315,2.45,0.3177,0.0185,1.0898
44826,2.69,0.01644,2.85,0.0008,0.0185,0.94386
44826,2.69,0.01644,2.9,0.0005,0.0185,0.92759
44826,2.69,0.01644,2.95,0.0002,0.0185,0.91186
44826,2.69,0.01644,3,0.0002,0.0185,0.89667
44826,2.69,0.01644,3.1,0.0002,0.0185,0.86774
44826,2.69,0.01644,3.2,0.0002,0.0185,0.84063
44826,2.69,0.01644,3.3,0.0002,0.0185,0.81515
44826,2.69,0.01644,3.4,0.0002,0.0185,0.79118
44826,2.69,0.01644,3.5,0.0001,0.0185,0.76857
44826,2.69,0.01644,2.8,0.0014,0.0185,0.96071
44826,2.69,0.01644,2.75,0.0037,0.0185,0.97818
44826,2.69,0.01644,2.7,0.0145,0.0185,0.9963
44826,2.69,0.01644,2.65,0.0396,0.0185,1.01509
44826,2.69,0.01644,2.5,0.176,0.0185,1.076
44826,2.69,0.01644,2.55,0.1265,0.0185,1.0549
44826,2.69,0.01644,2.6,0.0777,0.0185,1.03462
44826,2.69,0.01644,2.45,0.225,0.0185,1.09796
44826,2.69,0.26575,2.5,0.2352,0.0185,1.076
44826,2.69,0.26575,2.55,0.198,0.0185,1.0549
44826,2.69,0.26575,2.6,0.1631,0.0185,1.03462
44826,2.69,0.26575,2.65,0.1346,0.0185,1.01509
44826,2.69,0.26575,2.7,0.1089,0.0185,0.9963
44826,2.69,0.26575,2.75,0.085,0.0185,0.97818
44826,2.69,0.26575,2.8,0.0665,0.0185,0.96071
44826,2.69,0.26575,2.85,0.0516,0.0185,0.94386
44826,2.69,0.26575,2.9,0.0399,0.0185,0.92759
44826,2.69,0.26575,2.95,0.0296,0.0185,0.91186
44826,2.69,0.26575,3,0.0226,0.0185,0.89667
44826,2.69,0.26575,3.1,0.0132,0.0185,0.86774
44826,2.69,0.26575,3.2,0.0085,0.0185,0.84063
44826,2.69,0.26575,3.3,0.0053,0.0185,0.81515
44826,2.69,0.26575,3.4,0.0045,0.0185,0.79118
44826,2.69,0.26575,3.5,0.003,0.0185,0.76857
44826,2.69,0.49589,2.65,0.19,0.0185,1.01509
44826,2.69,0.49589,2.7,0.163,0.0185,0.9963
44826,2.69,0.49589,2.75,0.1402,0.0185,0.97818
44826,2.69,0.49589,2.8,0.1184,0.0185,0.96071
44826,2.69,0.49589,2.85,0.0998,0.0185,0.94386
44826,2.69,0.49589,2.9,0.0837,0.0185,0.92759
44826,2.69,0.49589,2.95,0.0706,0.0185,0.91186
44826,2.69,0.49589,3,0.0581,0.0185,0.89667
44826,2.69,0.49589,3.1,0.04,0.0185,0.86774
44826,2.69,0.49589,2.6,0.2178,0.0185,1.03462
44826,2.69,0.49589,2.55,0.2501,0.0185,1.0549
44826,2.69,0.09315,2.55,0.1508,0.0185,1.0549
44826,2.69,0.09315,2.6,0.1107,0.0185,1.03462
44826,2.69,0.09315,2.65,0.0772,0.0185,1.01509
44826,2.69,0.09315,2.7,0.0503,0.0185,0.9963
44826,2.69,0.09315,2.75,0.0309,0.0185,0.97818
44826,2.69,0.09315,2.8,0.018,0.0185,0.96071
44826,2.69,0.09315,2.85,0.0102,0.0185,0.94386
44826,2.69,0.09315,2.9,0.0061,0.0185,0.92759
44826,2.69,0.09315,2.95,0.0033,0.0185,0.91186
44826,2.69,0.09315,3,0.0028,0.0185,0.89667
44826,2.69,0.09315,2.5,0.1932,0.0185,1.076
44826,2.69,0.49589,2.5,0.2844,0.0185,1.076
44825,2.71,0.01918,2.85,0.0014,0.0187,0.95088
44825,2.71,0.01918,2.9,0.0009,0.0187,0.93448
44825,2.71,0.01918,2.95,0.0003,0.0187,0.91864
44825,2.71,0.01918,3,0.0002,0.0187,0.90333
44825,2.71,0.01918,3.1,0.0002,0.0187,0.87419
44825,2.71,0.01918,3.2,0.0002,0.0187,0.84688
44825,2.71,0.01918,3.3,0.0002,0.0187,0.82121
44825,2.71,0.01918,3.4,0.0002,0.0187,0.79706
44825,2.71,0.01918,3.5,0.0002,0.0187,0.77429
44825,2.71,0.01918,2.8,0.003,0.0187,0.96786
44825,2.71,0.01918,2.75,0.0089,0.0187,0.98545
44825,2.71,0.01918,2.7,0.0243,0.0187,1.0037
44825,2.71,0.01918,2.65,0.0568,0.0187,1.02264
44825,2.71,0.01918,2.5,0.1951,0.0187,1.084
44825,2.71,0.01918,2.55,0.1454,0.0187,1.06275
44825,2.71,0.01918,2.6,0.098,0.0187,1.04231
44825,2.71,0.01918,2.45,0.245,0.0187,1.10612
44825,2.71,0.26849,2.5,0.2515,0.0187,1.084
44825,2.71,0.26849,2.55,0.2125,0.0187,1.06275
44825,2.71,0.26849,2.6,0.177,0.0187,1.04231
44825,2.71,0.26849,2.65,0.1463,0.0187,1.02264
44825,2.71,0.26849,2.7,0.1169,0.0187,1.0037
44825,2.71,0.26849,2.75,0.0945,0.0187,0.98545
44825,2.71,0.26849,2.8,0.0749,0.0187,0.96786
44825,2.71,0.26849,2.85,0.0579,0.0187,0.95088
44825,2.71,0.26849,2.9,0.0447,0.0187,0.93448
44825,2.71,0.26849,2.95,0.0344,0.0187,0.91864
44825,2.71,0.26849,3,0.0268,0.0187,0.90333
44825,2.71,0.26849,3.1,0.0154,0.0187,0.87419
44825,2.71,0.26849,3.2,0.0095,0.0187,0.84688
44825,2.71,0.26849,3.3,0.0061,0.0187,0.82121
44825,2.71,0.26849,3.4,0.0045,0.0187,0.79706
44825,2.71,0.26849,3.5,0.0034,0.0187,0.77429
44825,2.71,0.49863,2.65,0.2018,0.0187,1.02264
44825,2.71,0.49863,2.7,0.1735,0.0187,1.0037
44825,2.71,0.49863,2.75,0.147,0.0187,0.98545
44825,2.71,0.49863,2.8,0.1275,0.0187,0.96786
44825,2.71,0.49863,2.85,0.1091,0.0187,0.95088
44825,2.71,0.49863,2.9,0.0912,0.0187,0.93448
44825,2.71,0.49863,2.95,0.0765,0.0187,0.91864
44825,2.71,0.49863,3,0.0638,0.0187,0.90333
44825,2.71,0.49863,3.1,0.0444,0.0187,0.87419
44825,2.71,0.49863,2.6,0.232,0.0187,1.04231
44825,2.71,0.49863,2.55,0.2641,0.0187,1.06275
44825,2.71,0.09589,2.55,0.167,0.0187,1.06275
44825,2.71,0.09589,2.6,0.126,0.0187,1.04231
44825,2.71,0.09589,2.65,0.0906,0.0187,1.02264
44825,2.71,0.09589,2.7,0.0617,0.0187,1.0037
44825,2.71,0.09589,2.75,0.0389,0.0187,0.98545
44825,2.71,0.09589,2.8,0.0227,0.0187,0.96786
44825,2.71,0.09589,2.85,0.0126,0.0187,0.95088
44825,2.71,0.09589,2.9,0.0072,0.0187,0.93448
44825,2.71,0.09589,2.95,0.0042,0.0187,0.91864
44825,2.71,0.09589,3,0.0032,0.0187,0.90333
44825,2.71,0.09589,2.5,0.212,0.0187,1.084
44825,2.71,0.49863,2.5,0.2991,0.0187,1.084
44824,2.72,0.02192,2.85,0.0016,0.0187,0.95439
44824,2.72,0.02192,2.9,0.0006,0.0187,0.93793
44824,2.72,0.02192,2.95,0.0004,0.0187,0.92203
44824,2.72,0.02192,3,0.0003,0.0187,0.90667
44824,2.72,0.02192,3.1,0.0001,0.0187,0.87742
44824,2.72,0.02192,3.2,0.0001,0.0187,0.85
44824,2.72,0.02192,3.3,0.0001,0.0187,0.82424
44824,2.72,0.02192,3.4,0.0001,0.0187,0.8
44824,2.72,0.02192,3.5,0.0001,0.0187,0.77714
44824,2.72,0.02192,2.8,0.0045,0.0187,0.97143
44824,2.72,0.02192,2.75,0.0139,0.0187,0.98909
